@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,239,0,443,0,1,1,0.35044,1,0.64956,0.519001,1,1,0.005601
1,239,0,431,12,0.972912,1,0.356716,1,0.643284,0.525853,0.982405,1.01791,0.006906
2,239,0,422,21,0.952596,1,0.361573,1,0.638427,0.531111,0.969208,1.03177,0.007832
3,239,0,413,30,0.93228,1,0.366564,1,0.633436,0.536476,0.956012,1.046012,0.008255
4,239,0,401,42,0.905192,1,0.373437,1,0.626563,0.5438,0.938416,1.065625,0.008821
5,239,0,388,55,0.875847,1,0.38118,1,0.61882,0.551963,0.919355,1.087719,0.008936
6,239,0,382,61,0.862302,1,0.384863,1,0.615137,0.555814,0.910557,1.098229,0.009638
7,239,0,370,73,0.835214,1,0.392447,1,0.607553,0.563679,0.892962,1.119869,0.009647
8,239,0,368,75,0.8307,1,0.39374,1,0.60626,0.565012,0.890029,1.123558,0.0102
9,239,0,361,82,0.814898,1,0.398333,1,0.601667,0.569726,0.879765,1.136667,0.010229
10,239,0,352,91,0.794582,1,0.404399,1,0.595601,0.575904,0.866569,1.153976,0.010446
11,239,0,343,100,0.774266,1,0.410653,1,0.589347,0.582217,0.853372,1.171821,0.010914
12,239,0,333,110,0.751693,1,0.417832,1,0.582168,0.589396,0.83871,1.192308,0.011635
13,239,0,331,112,0.747178,1,0.419298,1,0.580702,0.590853,0.835777,1.196491,0.011983
14,239,0,320,123,0.722348,1,0.427549,1,0.572451,0.598997,0.819648,1.220036,0.012098
15,239,0,309,134,0.697517,1,0.436131,1,0.563869,0.60737,0.803519,1.244526,0.013753
16,239,0,307,136,0.693002,1,0.437729,1,0.562271,0.608917,0.800587,1.249084,0.014317
17,239,0,293,150,0.6614,1,0.449248,1,0.550752,0.619974,0.780059,1.281955,0.014492
18,239,0,287,156,0.647856,1,0.454373,1,0.545627,0.624837,0.771261,1.296578,0.014999
19,239,0,279,164,0.629797,1,0.46139,1,0.53861,0.63144,0.759531,1.316602,0.015084
20,239,0,278,165,0.62754,1,0.462282,1,0.537718,0.632275,0.758065,1.319149,0.015407
21,239,0,270,173,0.609481,1,0.469548,1,0.530452,0.639037,0.746334,1.339882,0.016311
22,239,0,254,189,0.573363,1,0.484787,1,0.515213,0.653005,0.722874,1.383367,0.016419
23,239,0,253,190,0.571106,1,0.485772,1,0.514228,0.653899,0.721408,1.386179,0.016546
24,239,0,240,203,0.541761,1,0.498956,1,0.501044,0.665738,0.702346,1.4238,0.016622
25,239,0,239,204,0.539503,1,0.5,1,0.5,0.666667,0.70088,1.426778,0.017653
26,239,0,228,215,0.514673,1,0.511777,1,0.488223,0.677054,0.684751,1.460385,0.017928
27,239,0,227,216,0.512415,1,0.512876,1,0.487124,0.678014,0.683284,1.463519,0.018644
28,239,0,220,223,0.496614,1,0.520697,1,0.479303,0.684814,0.673021,1.485839,0.019191
29,239,0,219,224,0.494357,1,0.521834,1,0.478166,0.685796,0.671554,1.489083,0.0194
30,239,0,209,234,0.471783,1,0.533482,1,0.466518,0.695779,0.656891,1.522321,0.020223
31,239,0,208,235,0.469526,1,0.534676,1,0.465324,0.696793,0.655425,1.525727,0.020483
32,239,0,206,237,0.465011,1,0.537079,1,0.462921,0.69883,0.652493,1.532584,0.020599
33,239,0,203,240,0.458239,1,0.540724,1,0.459276,0.701909,0.648094,1.542986,0.020716
34,239,0,196,247,0.442438,1,0.549425,1,0.450575,0.709199,0.63783,1.567816,0.021385
35,239,0,195,248,0.440181,1,0.550691,1,0.449309,0.710253,0.636364,1.571429,0.021873
36,239,0,194,249,0.437923,1,0.551963,1,0.448037,0.71131,0.634897,1.575058,0.022075
37,239,0,193,250,0.435666,1,0.553241,1,0.446759,0.71237,0.633431,1.578704,0.022864
38,239,0,186,257,0.419865,1,0.562353,1,0.437647,0.71988,0.623167,1.604706,0.022895
39,239,0,185,258,0.417607,1,0.563679,1,0.436321,0.720965,0.621701,1.608491,0.023706
40,239,0,184,259,0.41535,1,0.565012,1,0.434988,0.722054,0.620235,1.612293,0.02372
41,239,0,174,269,0.392777,1,0.578692,1,0.421308,0.733129,0.605572,1.651332,0.024544
42,239,0,166,277,0.374718,1,0.590123,1,0.409877,0.742236,0.593842,1.683951,0.025988
43,239,0,155,288,0.349887,1,0.606599,1,0.393401,0.755134,0.577713,1.730964,0.026661
44,239,0,147,296,0.331828,1,0.619171,1,0.380829,0.7648,0.565982,1.766839,0.026857
45,239,0,145,298,0.327314,1,0.622396,1,0.377604,0.767255,0.56305,1.776042,0.027101
46,239,0,135,308,0.30474,1,0.639037,1,0.360963,0.779772,0.548387,1.823529,0.02769
47,239,0,134,309,0.302483,1,0.640751,1,0.359249,0.781046,0.546921,1.828418,0.028434
48,239,0,127,316,0.286682,1,0.653005,1,0.346995,0.790083,0.536657,1.863388,0.029154
49,239,0,126,317,0.284424,1,0.654795,1,0.345205,0.791391,0.535191,1.868493,0.029368
50,239,0,125,318,0.282167,1,0.656593,1,0.343407,0.792703,0.533724,1.873626,0.030327
